Vulnerability ID           Package                                            Severity          Fix                            CVE Refs                Vulnerability URL                                                     Type          Feed Group           Package Path                                   
CVE-2018-1000001           libc-bin-2.23-0ubuntu9                             High              2.23-0ubuntu10                 CVE-2018-1000001        http://people.ubuntu.com/~ubuntu-security/cve/CVE-2018-1000001        dpkg          ubuntu:16.04         pkgdb                                          
CVE-2018-1000001           libc6-2.23-0ubuntu9                                High              2.23-0ubuntu10                 CVE-2018-1000001        http://people.ubuntu.com/~ubuntu-security/cve/CVE-2018-1000001        dpkg          ubuntu:16.04         pkgdb                                          
CVE-2018-1000001           multiarch-support-2.23-0ubuntu9                    High              2.23-0ubuntu10                 CVE-2018-1000001        http://people.ubuntu.com/~ubuntu-security/cve/CVE-2018-1000001        dpkg          ubuntu:16.04         pkgdb                                          
CVE-2018-16864             libsystemd0-229-4ubuntu21                          High              229-4ubuntu21.15               CVE-2018-16864          http://people.ubuntu.com/~ubuntu-security/cve/CVE-2018-16864          dpkg          ubuntu:16.04         pkgdb                                          
CVE-2018-16864             libudev1-229-4ubuntu21                             High              229-4ubuntu21.15               CVE-2018-16864          http://people.ubuntu.com/~ubuntu-security/cve/CVE-2018-16864          dpkg          ubuntu:16.04         pkgdb                                          
CVE-2018-16864             systemd-229-4ubuntu21                              High              229-4ubuntu21.15               CVE-2018-16864          http://people.ubuntu.com/~ubuntu-security/cve/CVE-2018-16864          dpkg          ubuntu:16.04         pkgdb                                          
CVE-2018-16864             systemd-sysv-229-4ubuntu21                         High              229-4ubuntu21.15               CVE-2018-16864          http://people.ubuntu.com/~ubuntu-security/cve/CVE-2018-16864          dpkg          ubuntu:16.04         pkgdb                                          
CVE-2018-16865             libsystemd0-229-4ubuntu21                          High              229-4ubuntu21.15               CVE-2018-16865          http://people.ubuntu.com/~ubuntu-security/cve/CVE-2018-16865          dpkg          ubuntu:16.04         pkgdb                                          
CVE-2018-16865             libudev1-229-4ubuntu21                             High              229-4ubuntu21.15               CVE-2018-16865          http://people.ubuntu.com/~ubuntu-security/cve/CVE-2018-16865          dpkg          ubuntu:16.04         pkgdb                                          
CVE-2018-16865             systemd-229-4ubuntu21                              High              229-4ubuntu21.15               CVE-2018-16865          http://people.ubuntu.com/~ubuntu-security/cve/CVE-2018-16865          dpkg          ubuntu:16.04         pkgdb                                          
CVE-2018-16865             systemd-sysv-229-4ubuntu21                         High              229-4ubuntu21.15               CVE-2018-16865          http://people.ubuntu.com/~ubuntu-security/cve/CVE-2018-16865          dpkg          ubuntu:16.04         pkgdb                                          
CVE-2019-3462              apt-1.2.24                                         High              1.2.29ubuntu0.1                CVE-2019-3462           http://people.ubuntu.com/~ubuntu-security/cve/CVE-2019-3462           dpkg          ubuntu:16.04         pkgdb                                          
CVE-2019-3462              libapt-pkg5.0-1.2.24                               High              1.2.29ubuntu0.1                CVE-2019-3462           http://people.ubuntu.com/~ubuntu-security/cve/CVE-2019-3462           dpkg          ubuntu:16.04         pkgdb                                          
