Vulnerability ID           Package                                               Severity          Fix                                      CVE Refs                Vulnerability URL                                                   Type          Feed Group           Package Path                                                                                   
CVE-2016-8735              tomcat-8.0.32                                         Critical          None                                     CVE-2016-8735           https://nvd.nist.gov/vuln/detail/CVE-2016-8735                      java          nvdv2:cves           /src/target/cve20164977-0.0.1-SNAPSHOT.jar:lib/tomcat-embed-core-8.0.32.jar                    
CVE-2016-8735              tomcat-8.0.32                                         Critical          None                                     CVE-2016-8735           https://nvd.nist.gov/vuln/detail/CVE-2016-8735                      java          nvdv2:cves           /src/target/cve20164977-0.0.1-SNAPSHOT.jar:lib/tomcat-embed-el-8.0.32.jar                      
CVE-2016-8735              tomcat-8.0.32                                         Critical          None                                     CVE-2016-8735           https://nvd.nist.gov/vuln/detail/CVE-2016-8735                      java          nvdv2:cves           /src/target/cve20164977-0.0.1-SNAPSHOT.jar:lib/tomcat-embed-logging-juli-8.0.32.jar            
CVE-2016-8735              tomcat-8.0.32                                         Critical          None                                     CVE-2016-8735           https://nvd.nist.gov/vuln/detail/CVE-2016-8735                      java          nvdv2:cves           /src/target/cve20164977-0.0.1-SNAPSHOT.jar:lib/tomcat-embed-websocket-8.0.32.jar               
CVE-2017-1000116           mercurial-4.0                                         Critical          None                                     CVE-2017-1000116        https://nvd.nist.gov/vuln/detail/CVE-2017-1000116                   python        nvdv2:cves           /usr/lib/python2.7/dist-packages/mercurial                                                     
CVE-2017-5648              tomcat-8.0.32                                         Critical          None                                     CVE-2017-5648           https://nvd.nist.gov/vuln/detail/CVE-2017-5648                      java          nvdv2:cves           /src/target/cve20164977-0.0.1-SNAPSHOT.jar:lib/tomcat-embed-core-8.0.32.jar                    
CVE-2017-5648              tomcat-8.0.32                                         Critical          None                                     CVE-2017-5648           https://nvd.nist.gov/vuln/detail/CVE-2017-5648                      java          nvdv2:cves           /src/target/cve20164977-0.0.1-SNAPSHOT.jar:lib/tomcat-embed-el-8.0.32.jar                      
CVE-2017-5648              tomcat-8.0.32                                         Critical          None                                     CVE-2017-5648           https://nvd.nist.gov/vuln/detail/CVE-2017-5648                      java          nvdv2:cves           /src/target/cve20164977-0.0.1-SNAPSHOT.jar:lib/tomcat-embed-logging-juli-8.0.32.jar            
CVE-2017-5648              tomcat-8.0.32                                         Critical          None                                     CVE-2017-5648           https://nvd.nist.gov/vuln/detail/CVE-2017-5648                      java          nvdv2:cves           /src/target/cve20164977-0.0.1-SNAPSHOT.jar:lib/tomcat-embed-websocket-8.0.32.jar               
CVE-2017-5929              logback-1.1.5                                         Critical          None                                     CVE-2017-5929           https://nvd.nist.gov/vuln/detail/CVE-2017-5929                      java          nvdv2:cves           /src/target/cve20164977-0.0.1-SNAPSHOT.jar:lib/logback-classic-1.1.5.jar                       
CVE-2017-5929              logback-1.1.5                                         Critical          None                                     CVE-2017-5929           https://nvd.nist.gov/vuln/detail/CVE-2017-5929                      java          nvdv2:cves           /src/target/cve20164977-0.0.1-SNAPSHOT.jar:lib/logback-core-1.1.5.jar                          
CVE-2017-8046              spring_boot-1.3.3                                     Critical          None                                     CVE-2017-8046           https://nvd.nist.gov/vuln/detail/CVE-2017-8046                      java          nvdv2:cves           /src/target/cve20164977-0.0.1-SNAPSHOT.jar:lib/spring-boot-1.3.3.RELEASE.jar                   
CVE-2018-1270              spring_framework-4.2.5                                Critical          None                                     CVE-2018-1270           https://nvd.nist.gov/vuln/detail/CVE-2018-1270                      java          nvdv2:cves           /src/target/cve20164977-0.0.1-SNAPSHOT.jar:lib/spring-core-4.2.5.RELEASE.jar                   
CVE-2018-14718             jackson-databind-2.6.5                                Critical          None                                     CVE-2018-14718          https://nvd.nist.gov/vuln/detail/CVE-2018-14718                     java          nvdv2:cves           /src/target/cve20164977-0.0.1-SNAPSHOT.jar:lib/jackson-databind-2.6.5.jar                      
CVE-2018-14719             jackson-databind-2.6.5                                Critical          None                                     CVE-2018-14719          https://nvd.nist.gov/vuln/detail/CVE-2018-14719                     java          nvdv2:cves           /src/target/cve20164977-0.0.1-SNAPSHOT.jar:lib/jackson-databind-2.6.5.jar                      
CVE-2018-14720             jackson-databind-2.6.5                                Critical          None                                     CVE-2018-14720          https://nvd.nist.gov/vuln/detail/CVE-2018-14720                     java          nvdv2:cves           /src/target/cve20164977-0.0.1-SNAPSHOT.jar:lib/jackson-databind-2.6.5.jar                      
CVE-2018-14721             jackson-databind-2.6.5                                Critical          None                                     CVE-2018-14721          https://nvd.nist.gov/vuln/detail/CVE-2018-14721                     java          nvdv2:cves           /src/target/cve20164977-0.0.1-SNAPSHOT.jar:lib/jackson-databind-2.6.5.jar                      
CVE-2018-19360             jackson-databind-2.6.5                                Critical          None                                     CVE-2018-19360          https://nvd.nist.gov/vuln/detail/CVE-2018-19360                     java          nvdv2:cves           /src/target/cve20164977-0.0.1-SNAPSHOT.jar:lib/jackson-databind-2.6.5.jar                      
CVE-2018-19361             jackson-databind-2.6.5                                Critical          None                                     CVE-2018-19361          https://nvd.nist.gov/vuln/detail/CVE-2018-19361                     java          nvdv2:cves           /src/target/cve20164977-0.0.1-SNAPSHOT.jar:lib/jackson-databind-2.6.5.jar                      
