Vulnerability ID        Package                                       Severity          Fix                              CVE Refs                Vulnerability URL                                                   Type        Feed Group        Package Path        
CVE-2015-1258           libvpx1-1.3.0-3                               High              None                             CVE-2015-1258           https://security-tracker.debian.org/tracker/CVE-2015-1258           dpkg        debian:8          pkgdb               
CVE-2015-9290           libfreetype6-2.5.2-3+deb8u2                   High              2.5.2-3+deb8u3                   CVE-2015-9290           https://security-tracker.debian.org/tracker/CVE-2015-9290           dpkg        debian:8          pkgdb               
CVE-2016-2090           libbsd0-0.7.0-2                               High              0.7.0-2+deb8u1                   CVE-2016-2090           https://security-tracker.debian.org/tracker/CVE-2016-2090           dpkg        debian:8          pkgdb               
CVE-2016-4609           libxslt1.1-1.1.28-2+deb8u3                    High              1.1.28-2+deb8u5                  CVE-2016-4609           https://security-tracker.debian.org/tracker/CVE-2016-4609           dpkg        debian:8          pkgdb               
CVE-2016-4610           libxslt1.1-1.1.28-2+deb8u3                    High              1.1.28-2+deb8u5                  CVE-2016-4610           https://security-tracker.debian.org/tracker/CVE-2016-4610           dpkg        debian:8          pkgdb               
CVE-2016-7942           libx11-6-2:1.6.2-3                            High              2:1.6.2-3+deb8u1                 CVE-2016-7942           https://security-tracker.debian.org/tracker/CVE-2016-7942           dpkg        debian:8          pkgdb               
CVE-2016-7942           libx11-data-2:1.6.2-3                         High              2:1.6.2-3+deb8u1                 CVE-2016-7942           https://security-tracker.debian.org/tracker/CVE-2016-7942           dpkg        debian:8          pkgdb               
CVE-2016-7943           libx11-6-2:1.6.2-3                            High              2:1.6.2-3+deb8u1                 CVE-2016-7943           https://security-tracker.debian.org/tracker/CVE-2016-7943           dpkg        debian:8          pkgdb               
CVE-2016-7943           libx11-data-2:1.6.2-3                         High              2:1.6.2-3+deb8u1                 CVE-2016-7943           https://security-tracker.debian.org/tracker/CVE-2016-7943           dpkg        debian:8          pkgdb               
CVE-2016-9841           zlib1g-1:1.2.8.dfsg-2+b1                      High              1:1.2.8.dfsg-2+deb8u1            CVE-2016-9841           https://security-tracker.debian.org/tracker/CVE-2016-9841           dpkg        debian:8          pkgdb               
CVE-2016-9843           zlib1g-1:1.2.8.dfsg-2+b1                      High              1:1.2.8.dfsg-2+deb8u1            CVE-2016-9843           https://security-tracker.debian.org/tracker/CVE-2016-9843           dpkg        debian:8          pkgdb               
CVE-2017-10684          libncurses5-5.9+20140913-1+b1                 High              5.9+20140913-1+deb8u1            CVE-2017-10684          https://security-tracker.debian.org/tracker/CVE-2017-10684          dpkg        debian:8          pkgdb               
