Vulnerability ID        Package                                               Severity          Fix                                       CVE Refs                Vulnerability URL                                                   Type        Feed Group        Package Path        
CVE-2016-9841           rsync-3.1.2-1+deb9u1                                  High              3.1.2-1+deb9u2                            CVE-2016-9841           https://security-tracker.debian.org/tracker/CVE-2016-9841           dpkg        debian:9          pkgdb               
CVE-2016-9843           rsync-3.1.2-1+deb9u1                                  High              3.1.2-1+deb9u2                            CVE-2016-9843           https://security-tracker.debian.org/tracker/CVE-2016-9843           dpkg        debian:9          pkgdb               
CVE-2017-1000408        libc-bin-2.24-11+deb9u3                               High              2.24-11+deb9u4                            CVE-2017-1000408        https://security-tracker.debian.org/tracker/CVE-2017-1000408        dpkg        debian:9          pkgdb               
CVE-2017-1000408        libc6-2.24-11+deb9u3                                  High              2.24-11+deb9u4                            CVE-2017-1000408        https://security-tracker.debian.org/tracker/CVE-2017-1000408        dpkg        debian:9          pkgdb               
CVE-2017-1000408        multiarch-support-2.24-11+deb9u3                      High              2.24-11+deb9u4                            CVE-2017-1000408        https://security-tracker.debian.org/tracker/CVE-2017-1000408        dpkg        debian:9          pkgdb               
CVE-2017-14062          libidn11-1.33-1                                       High              1.33-1+deb9u1                             CVE-2017-14062          https://security-tracker.debian.org/tracker/CVE-2017-14062          dpkg        debian:9          pkgdb               
CVE-2017-15670          libc-bin-2.24-11+deb9u3                               High              2.24-11+deb9u4                            CVE-2017-15670          https://security-tracker.debian.org/tracker/CVE-2017-15670          dpkg        debian:9          pkgdb               
CVE-2017-15670          libc6-2.24-11+deb9u3                                  High              2.24-11+deb9u4                            CVE-2017-15670          https://security-tracker.debian.org/tracker/CVE-2017-15670          dpkg        debian:9          pkgdb               
CVE-2017-15670          multiarch-support-2.24-11+deb9u3                      High              2.24-11+deb9u4                            CVE-2017-15670          https://security-tracker.debian.org/tracker/CVE-2017-15670          dpkg        debian:9          pkgdb               
CVE-2017-15804          libc-bin-2.24-11+deb9u3                               High              2.24-11+deb9u4                            CVE-2017-15804          https://security-tracker.debian.org/tracker/CVE-2017-15804          dpkg        debian:9          pkgdb               
CVE-2017-15804          libc6-2.24-11+deb9u3                                  High              2.24-11+deb9u4                            CVE-2017-15804          https://security-tracker.debian.org/tracker/CVE-2017-15804          dpkg        debian:9          pkgdb               
CVE-2017-15804          multiarch-support-2.24-11+deb9u3                      High              2.24-11+deb9u4                            CVE-2017-15804          https://security-tracker.debian.org/tracker/CVE-2017-15804          dpkg        debian:9          pkgdb               
CVE-2017-16997          libc-bin-2.24-11+deb9u3                               High              2.24-11+deb9u4                            CVE-2017-16997          https://security-tracker.debian.org/tracker/CVE-2017-16997          dpkg        debian:9          pkgdb               
CVE-2017-16997          libc6-2.24-11+deb9u3                                  High              2.24-11+deb9u4                            CVE-2017-16997          https://security-tracker.debian.org/tracker/CVE-2017-16997          dpkg        debian:9          pkgdb               
CVE-2017-16997          multiarch-support-2.24-11+deb9u3                      High              2.24-11+deb9u4                            CVE-2017-16997          https://security-tracker.debian.org/tracker/CVE-2017-16997          dpkg        debian:9          pkgdb               
CVE-2017-18269          libc-bin-2.24-11+deb9u3                               High              2.24-11+deb9u4                            CVE-2017-18269          https://security-tracker.debian.org/tracker/CVE-2017-18269          dpkg        debian:9          pkgdb               
CVE-2017-18269          libc6-2.24-11+deb9u3                                  High              2.24-11+deb9u4                            CVE-2017-18269          https://security-tracker.debian.org/tracker/CVE-2017-18269          dpkg        debian:9          pkgdb               
CVE-2017-18269          multiarch-support-2.24-11+deb9u3                      High              2.24-11+deb9u4                            CVE-2017-18269          https://security-tracker.debian.org/tracker/CVE-2017-18269          dpkg        debian:9          pkgdb               
CVE-2018-11236          libc-bin-2.24-11+deb9u3                               High              2.24-11+deb9u4                            CVE-2018-11236          https://security-tracker.debian.org/tracker/CVE-2018-11236          dpkg        debian:9          pkgdb               
CVE-2018-11236          libc6-2.24-11+deb9u3                                  High              2.24-11+deb9u4                            CVE-2018-11236          https://security-tracker.debian.org/tracker/CVE-2018-11236          dpkg        debian:9          pkgdb               
CVE-2018-11236          multiarch-support-2.24-11+deb9u3                      High              2.24-11+deb9u4                            CVE-2018-11236          https://security-tracker.debian.org/tracker/CVE-2018-11236          dpkg        debian:9          pkgdb               
CVE-2018-14599          libx11-6-2:1.6.4-3                                    High              2:1.6.4-3+deb9u1                          CVE-2018-14599          https://security-tracker.debian.org/tracker/CVE-2018-14599          dpkg        debian:9          pkgdb               
CVE-2018-14599          libx11-data-2:1.6.4-3                                 High              2:1.6.4-3+deb9u1                          CVE-2018-14599          https://security-tracker.debian.org/tracker/CVE-2018-14599          dpkg        debian:9          pkgdb               
CVE-2018-14600          libx11-6-2:1.6.4-3                                    High              2:1.6.4-3+deb9u1                          CVE-2018-14600          https://security-tracker.debian.org/tracker/CVE-2018-14600          dpkg        debian:9          pkgdb               
CVE-2018-14600          libx11-data-2:1.6.4-3                                 High              2:1.6.4-3+deb9u1                          CVE-2018-14600          https://security-tracker.debian.org/tracker/CVE-2018-14600          dpkg        debian:9          pkgdb               
CVE-2018-15686          libsystemd0-232-25+deb9u4                             High              232-25+deb9u10                            CVE-2018-15686          https://security-tracker.debian.org/tracker/CVE-2018-15686          dpkg        debian:9          pkgdb               
CVE-2018-15686          libudev1-232-25+deb9u4                                High              232-25+deb9u10                            CVE-2018-15686          https://security-tracker.debian.org/tracker/CVE-2018-15686          dpkg        debian:9          pkgdb               
CVE-2018-15688          libsystemd0-232-25+deb9u4                             High              232-25+deb9u6                             CVE-2018-15688          https://security-tracker.debian.org/tracker/CVE-2018-15688          dpkg        debian:9          pkgdb               
CVE-2018-15688          libudev1-232-25+deb9u4                                High              232-25+deb9u6                             CVE-2018-15688          https://security-tracker.debian.org/tracker/CVE-2018-15688          dpkg        debian:9          pkgdb               
CVE-2018-18311          libperl5.24-5.24.1-3+deb9u4                           High              5.24.1-3+deb9u5                           CVE-2018-18311          https://security-tracker.debian.org/tracker/CVE-2018-18311          dpkg        debian:9          pkgdb               
CVE-2018-18311          perl-5.24.1-3+deb9u4                                  High              5.24.1-3+deb9u5                           CVE-2018-18311          https://security-tracker.debian.org/tracker/CVE-2018-18311          dpkg        debian:9          pkgdb               
CVE-2018-18311          perl-base-5.24.1-3+deb9u4                             High              5.24.1-3+deb9u5                           CVE-2018-18311          https://security-tracker.debian.org/tracker/CVE-2018-18311          dpkg        debian:9          pkgdb               
CVE-2018-18311          perl-modules-5.24-5.24.1-3+deb9u4                     High              5.24.1-3+deb9u5                           CVE-2018-18311          https://security-tracker.debian.org/tracker/CVE-2018-18311          dpkg        debian:9          pkgdb               
CVE-2018-18312          libperl5.24-5.24.1-3+deb9u4                           High              5.24.1-3+deb9u5                           CVE-2018-18312          https://security-tracker.debian.org/tracker/CVE-2018-18312          dpkg        debian:9          pkgdb               
CVE-2018-18312          perl-5.24.1-3+deb9u4                                  High              5.24.1-3+deb9u5                           CVE-2018-18312          https://security-tracker.debian.org/tracker/CVE-2018-18312          dpkg        debian:9          pkgdb               
CVE-2018-18312          perl-base-5.24.1-3+deb9u4                             High              5.24.1-3+deb9u5                           CVE-2018-18312          https://security-tracker.debian.org/tracker/CVE-2018-18312          dpkg        debian:9          pkgdb               
CVE-2018-18312          perl-modules-5.24-5.24.1-3+deb9u4                     High              5.24.1-3+deb9u5                           CVE-2018-18312          https://security-tracker.debian.org/tracker/CVE-2018-18312          dpkg        debian:9          pkgdb               
CVE-2018-18314          libperl5.24-5.24.1-3+deb9u4                           High              5.24.1-3+deb9u5                           CVE-2018-18314          https://security-tracker.debian.org/tracker/CVE-2018-18314          dpkg        debian:9          pkgdb               
CVE-2018-18314          perl-5.24.1-3+deb9u4                                  High              5.24.1-3+deb9u5                           CVE-2018-18314          https://security-tracker.debian.org/tracker/CVE-2018-18314          dpkg        debian:9          pkgdb               
CVE-2018-18314          perl-base-5.24.1-3+deb9u4                             High              5.24.1-3+deb9u5                           CVE-2018-18314          https://security-tracker.debian.org/tracker/CVE-2018-18314          dpkg        debian:9          pkgdb               
CVE-2018-18314          perl-modules-5.24-5.24.1-3+deb9u4                     High              5.24.1-3+deb9u5                           CVE-2018-18314          https://security-tracker.debian.org/tracker/CVE-2018-18314          dpkg        debian:9          pkgdb               
CVE-2018-19518          libapache2-mod-php7.0-7.0.30-0+deb9u1                 High              7.0.33-0+deb9u1                           CVE-2018-19518          https://security-tracker.debian.org/tracker/CVE-2018-19518          dpkg        debian:9          pkgdb               
CVE-2018-19518          php7.0-7.0.30-0+deb9u1                                High              7.0.33-0+deb9u1                           CVE-2018-19518          https://security-tracker.debian.org/tracker/CVE-2018-19518          dpkg        debian:9          pkgdb               
