Vulnerability ID        Package                                   Severity          Fix                          CVE Refs                Vulnerability URL                                                   Type        Feed Group        Package Path        
CVE-2017-1000408        libc-bin-2.24-11+deb9u1                   High              2.24-11+deb9u4               CVE-2017-1000408        https://security-tracker.debian.org/tracker/CVE-2017-1000408        dpkg        debian:9          pkgdb               
CVE-2017-1000408        libc6-2.24-11+deb9u1                      High              2.24-11+deb9u4               CVE-2017-1000408        https://security-tracker.debian.org/tracker/CVE-2017-1000408        dpkg        debian:9          pkgdb               
CVE-2017-1000408        multiarch-support-2.24-11+deb9u1          High              2.24-11+deb9u4               CVE-2017-1000408        https://security-tracker.debian.org/tracker/CVE-2017-1000408        dpkg        debian:9          pkgdb               
CVE-2017-14062          libidn11-1.33-1                           High              1.33-1+deb9u1                CVE-2017-14062          https://security-tracker.debian.org/tracker/CVE-2017-14062          dpkg        debian:9          pkgdb               
CVE-2017-15670          libc-bin-2.24-11+deb9u1                   High              2.24-11+deb9u4               CVE-2017-15670          https://security-tracker.debian.org/tracker/CVE-2017-15670          dpkg        debian:9          pkgdb               
CVE-2017-15670          libc6-2.24-11+deb9u1                      High              2.24-11+deb9u4               CVE-2017-15670          https://security-tracker.debian.org/tracker/CVE-2017-15670          dpkg        debian:9          pkgdb               
CVE-2017-15670          multiarch-support-2.24-11+deb9u1          High              2.24-11+deb9u4               CVE-2017-15670          https://security-tracker.debian.org/tracker/CVE-2017-15670          dpkg        debian:9          pkgdb               
CVE-2017-15804          libc-bin-2.24-11+deb9u1                   High              2.24-11+deb9u4               CVE-2017-15804          https://security-tracker.debian.org/tracker/CVE-2017-15804          dpkg        debian:9          pkgdb               
CVE-2017-15804          libc6-2.24-11+deb9u1                      High              2.24-11+deb9u4               CVE-2017-15804          https://security-tracker.debian.org/tracker/CVE-2017-15804          dpkg        debian:9          pkgdb               
CVE-2017-15804          multiarch-support-2.24-11+deb9u1          High              2.24-11+deb9u4               CVE-2017-15804          https://security-tracker.debian.org/tracker/CVE-2017-15804          dpkg        debian:9          pkgdb               
CVE-2017-16997          libc-bin-2.24-11+deb9u1                   High              2.24-11+deb9u4               CVE-2017-16997          https://security-tracker.debian.org/tracker/CVE-2017-16997          dpkg        debian:9          pkgdb               
CVE-2017-16997          libc6-2.24-11+deb9u1                      High              2.24-11+deb9u4               CVE-2017-16997          https://security-tracker.debian.org/tracker/CVE-2017-16997          dpkg        debian:9          pkgdb               
CVE-2017-16997          multiarch-support-2.24-11+deb9u1          High              2.24-11+deb9u4               CVE-2017-16997          https://security-tracker.debian.org/tracker/CVE-2017-16997          dpkg        debian:9          pkgdb               
CVE-2017-18269          libc-bin-2.24-11+deb9u1                   High              2.24-11+deb9u4               CVE-2017-18269          https://security-tracker.debian.org/tracker/CVE-2017-18269          dpkg        debian:9          pkgdb               
CVE-2017-18269          libc6-2.24-11+deb9u1                      High              2.24-11+deb9u4               CVE-2017-18269          https://security-tracker.debian.org/tracker/CVE-2017-18269          dpkg        debian:9          pkgdb               
CVE-2017-18269          multiarch-support-2.24-11+deb9u1          High              2.24-11+deb9u4               CVE-2017-18269          https://security-tracker.debian.org/tracker/CVE-2017-18269          dpkg        debian:9          pkgdb               
CVE-2018-11236          libc-bin-2.24-11+deb9u1                   High              2.24-11+deb9u4               CVE-2018-11236          https://security-tracker.debian.org/tracker/CVE-2018-11236          dpkg        debian:9          pkgdb               
CVE-2018-11236          libc6-2.24-11+deb9u1                      High              2.24-11+deb9u4               CVE-2018-11236          https://security-tracker.debian.org/tracker/CVE-2018-11236          dpkg        debian:9          pkgdb               
CVE-2018-11236          multiarch-support-2.24-11+deb9u1          High              2.24-11+deb9u4               CVE-2018-11236          https://security-tracker.debian.org/tracker/CVE-2018-11236          dpkg        debian:9          pkgdb               
