Vulnerability ID           Package                                           Severity          Fix                              CVE Refs                Vulnerability URL                                                   Type          Feed Group           Package Path                                     
CVE-2008-1447              python-dnspython-1.12.0-1                         High              None                             CVE-2008-1447           https://security-tracker.debian.org/tracker/CVE-2008-1447           dpkg          debian:8             pkgdb                                            
CVE-2014-8501              gdb-7.7.1+dfsg-5                                  High              None                             CVE-2014-8501           https://security-tracker.debian.org/tracker/CVE-2014-8501           dpkg          debian:8             pkgdb                                            
CVE-2014-8501              gdbserver-7.7.1+dfsg-5                            High              None                             CVE-2014-8501           https://security-tracker.debian.org/tracker/CVE-2014-8501           dpkg          debian:8             pkgdb                                            
CVE-2014-9939              gdb-7.7.1+dfsg-5                                  High              None                             CVE-2014-9939           https://security-tracker.debian.org/tracker/CVE-2014-9939           dpkg          debian:8             pkgdb                                            
CVE-2014-9939              gdbserver-7.7.1+dfsg-5                            High              None                             CVE-2014-9939           https://security-tracker.debian.org/tracker/CVE-2014-9939           dpkg          debian:8             pkgdb                                            
CVE-2016-10764             linux-libc-dev-3.16.43-2+deb8u5                   High              None                             CVE-2016-10764          https://security-tracker.debian.org/tracker/CVE-2016-10764          dpkg          debian:8             pkgdb                                            
CVE-2016-2090              libbsd-dev-0.7.0-2                                High              0.7.0-2+deb8u1                   CVE-2016-2090           https://security-tracker.debian.org/tracker/CVE-2016-2090           dpkg          debian:8             pkgdb                                            
CVE-2016-2090              libbsd0-0.7.0-2                                   High              0.7.0-2+deb8u1                   CVE-2016-2090           https://security-tracker.debian.org/tracker/CVE-2016-2090           dpkg          debian:8             pkgdb                                            
CVE-2016-4609              libxslt1.1-1.1.28-2+deb8u3                        High              1.1.28-2+deb8u5                  CVE-2016-4609           https://security-tracker.debian.org/tracker/CVE-2016-4609           dpkg          debian:8             pkgdb                                            
CVE-2016-4609              xsltproc-1.1.28-2+deb8u3                          High              1.1.28-2+deb8u5                  CVE-2016-4609           https://security-tracker.debian.org/tracker/CVE-2016-4609           dpkg          debian:8             pkgdb                                            
CVE-2016-4610              libxslt1.1-1.1.28-2+deb8u3                        High              1.1.28-2+deb8u5                  CVE-2016-4610           https://security-tracker.debian.org/tracker/CVE-2016-4610           dpkg          debian:8             pkgdb                                            
CVE-2016-4610              xsltproc-1.1.28-2+deb8u3                          High              1.1.28-2+deb8u5                  CVE-2016-4610           https://security-tracker.debian.org/tracker/CVE-2016-4610           dpkg          debian:8             pkgdb                                            
CVE-2016-7167              curl-7.38.0-4+deb8u7                              High              7.38.0-4+deb8u13                 CVE-2016-7167           https://security-tracker.debian.org/tracker/CVE-2016-7167           dpkg          debian:8             pkgdb                                            
CVE-2016-7167              libcurl3-7.38.0-4+deb8u7                          High              7.38.0-4+deb8u13                 CVE-2016-7167           https://security-tracker.debian.org/tracker/CVE-2016-7167           dpkg          debian:8             pkgdb                                            
CVE-2016-9841              zlib1g-1:1.2.8.dfsg-2+b1                          High              1:1.2.8.dfsg-2+deb8u1            CVE-2016-9841           https://security-tracker.debian.org/tracker/CVE-2016-9841           dpkg          debian:8             pkgdb                                            
CVE-2016-9841              zlib1g-dev-1:1.2.8.dfsg-2+b1                      High              1:1.2.8.dfsg-2+deb8u1            CVE-2016-9841           https://security-tracker.debian.org/tracker/CVE-2016-9841           dpkg          debian:8             pkgdb                                            
CVE-2016-9843              zlib1g-1:1.2.8.dfsg-2+b1                          High              1:1.2.8.dfsg-2+deb8u1            CVE-2016-9843           https://security-tracker.debian.org/tracker/CVE-2016-9843           dpkg          debian:8             pkgdb                                            
CVE-2016-9843              zlib1g-dev-1:1.2.8.dfsg-2+b1                      High              1:1.2.8.dfsg-2+deb8u1            CVE-2016-9843           https://security-tracker.debian.org/tracker/CVE-2016-9843           dpkg          debian:8             pkgdb                                            
CVE-2017-1000158           libpython2.7-2.7.9-2+deb8u1                       High              2.7.9-2+deb8u2                   CVE-2017-1000158        https://security-tracker.debian.org/tracker/CVE-2017-1000158        dpkg          debian:8             pkgdb                                            
CVE-2017-1000158           libpython2.7-dev-2.7.9-2+deb8u1                   High              2.7.9-2+deb8u2                   CVE-2017-1000158        https://security-tracker.debian.org/tracker/CVE-2017-1000158        dpkg          debian:8             pkgdb                                            
CVE-2017-1000158           libpython2.7-minimal-2.7.9-2+deb8u1               High              2.7.9-2+deb8u2                   CVE-2017-1000158        https://security-tracker.debian.org/tracker/CVE-2017-1000158        dpkg          debian:8             pkgdb                                            
CVE-2017-1000158           libpython2.7-stdlib-2.7.9-2+deb8u1                High              2.7.9-2+deb8u2                   CVE-2017-1000158        https://security-tracker.debian.org/tracker/CVE-2017-1000158        dpkg          debian:8             pkgdb                                            
